Eta,Maschi,Femmine,Totale
0,205956,195565,401521
1,209010,196942,405952
2,217601,206728,424329
3,228814,215845,444659
4,239357,225868,465225
5,247207,234209,481416
6,254015,240016,494031
7,258130,243600,501730
8,262991,248179,511170
9,274099,258710,532809
10,279094,263036,542130
11,287640,270262,557902
12,292126,274866,566992
13,295119,278796,573915
14,295350,277536,572886
15,296500,277830,574330
16,295402,276217,571619
17,297255,279415,576670
18,295362,276632,571994
19,294214,274758,568972
20,300861,278645,579506
21,311295,284888,596183
22,309689,281861,591550
23,314306,283085,597391
24,310963,283916,594879
25,310347,285615,595962
26,307985,285385,593370
27,308460,289768,598228
28,311932,295898,607830
29,324292,308477,632769
30,321588,308897,630485
31,328275,314731,643006
32,324855,316448,641303
33,332722,324109,656831
34,325507,319336,644843
35,326485,321463,647948
36,335674,332622,668296
37,342252,339451,681703
38,348459,345348,693807
39,359585,358567,718152
40,361161,361843,723004
41,371633,369465,741098
42,380744,383020,763764
43,401396,402977,804373
44,412990,417070,830060
45,430345,435212,865557
46,450363,456058,906421
47,467872,474197,942069
48,463506,472412,935918
49,468525,475842,944367
50,470687,482198,952885
51,466037,477141,943178
52,477126,490263,967389
53,472105,486657,958762
54,472403,489308,961711
55,476941,492023,968964
56,474679,490914,965593
57,479174,497276,976450
58,446136,468606,914742
59,428254,453153,881407
60,417342,444339,861681
61,402523,430065,832588
62,390635,418890,809525
63,370199,400713,770912
64,364016,396035,760051
65,354914,387428,742342
66,345641,379974,725615
67,337550,373995,711545
68,320409,354182,674591
69,313929,349985,663914
70,309779,347584,657363
71,317379,358115,675494
72,315137,357957,673094
73,322978,371690,694668
74,310300,359859,670159
75,302619,357374,659993
76,227340,273168,500508
77,227475,278304,505779
78,220948,278099,499047
79,211925,271905,483830
80,204507,268956,473463
81,213922,289181,503103
82,200627,276056,476683
83,181942,259684,441626
84,155540,230267,385807
85,132167,205716,337883
86,122063,197328,319391
87,104522,178692,283214
88,88635,158735,247370
89,72510,139806,212316
90,60315,123165,183480
91,50226,111509,161735
92,36589,87043,123632
93,27214,70722,97936
94,20225,56290,76515
95,14058,43081,57139
96,9520,32189,41709
97,6491,23479,29970
98,4333,16809,21142
99,2732,11412,14144
100,3390,16769,20159